service_id,date,exception_type
1111111_TR1,20200911,2
1111111_TR1,20200912,2
1111111_TR1,20200913,2
1111111_TR1,20200914,2
1111111_TR1,20200915,2
1111111_TR1,20200916,2
1111111_TR1,20200917,2
1111111_TR1,20200918,2
1111111_TR1,20200919,2
1111111_TR1,20200920,2
1111111_TR1,20200921,2
1111111_TR1,20200922,2
1111111_TR1,20200923,2
1111111_TR1,20200924,2
1111111_TR1,20200925,2
1111111_TR1,20200926,2
1111111_TR1,20200927,2
1111111_TR1,20200928,2
1111111_TR1,20200929,2
1111111_TR1,20200930,2
1111111_TR1,20201001,2
1111111_TR1,20201002,2
1111111_TR1,20201003,2
1111111_TR1,20201004,2
1111111_TR1,20201005,2
1111111_TR1,20201006,2
1111111_TR1,20201007,2
1111111_TR1,20201008,2
1111111_TR1,20201009,2
1111111_TR1,20201010,2
1111111_TR1,20201011,2
1111111_TR1,20201012,2
1111111_TR1,20201013,2
1111111_TR1,20201014,2
1111111_TR1,20201015,2
1111111_TR1,20201016,2
1111111_TR1,20201017,2
1111111_TR1,20201018,2
1111111_TR1,20201019,2
1111111_TR1,20201020,2
1111111_TR1,20201021,2
1111111_TR1,20201022,2
1111111_TR1,20201023,2
1111111_TR1,20201024,2
1111111_TR1,20201025,2
1111111_TR1,20201026,2
1111111_TR1,20201027,2
1111111_TR1,20201028,2
1111111_TR1,20201029,2
1111111_TR1,20201030,2
1111111_TR1,20201031,2
1111111_TR1,20201101,2
1111111_TR1,20201102,2
1111111_TR1,20201103,2
1111111_TR1,20201104,2
1111111_TR1,20201105,2
1111111_TR1,20201106,2
1111111_TR1,20201107,2
1111111_TR1,20201108,2
1111111_TR1,20201109,2
1111111_TR1,20201110,2
1111111_TR1,20201111,2
1111111_TR1,20201112,2
1111111_TR1,20201113,2
1111111_TR1,20201114,2
1111111_TR1,20201115,2
1111111_TR1,20201116,2
1111111_TR1,20201117,2
1111111_TR1,20201118,2
1111111_TR1,20201119,2
1111111_TR1,20201120,2
1111111_TR1,20201121,2
1111111_TR1,20201122,2
1111111_TR1,20201123,2
1111111_TR1,20201124,2
1111111_TR1,20201125,2
1111111_TR1,20201126,2
1111111_TR1,20201127,2
1111111_TR1,20201128,2
1111111_TR1,20201129,2
1111111_TR1,20201130,2
1111111_TR1,20201201,2
1111111_TR1,20201202,2
1111111_TR1,20201203,2
1111111_TR1,20201204,2
1111111_TR1,20201205,2
1111111_TR1,20201206,2
1111111_TR1,20201207,2
1111111_TR1,20201208,2
1111111_TR1,20201209,2
1111111_TR1,20201210,2
1111001_TR1,20200705,2
1111001_TR1,20200927,2
1111001_TR1,20201027,2
1111001_TR1,20201116,2
1111100_TR1,20200113,2
1111100_TR1,20200406,2
1111100_TR1,20200506,2
1111100_TR1,20200526,2
1111100_TR2,20200706,2
1111100_TR2,20200928,2
1111100_TR2,20201028,2
1111100_TR2,20201117,2
1111101_TR1,20191224,2
1111101_TR1,20191225,2
1111101_TR1,20191231,2
1111101_TR1,20200410,2
1111101_TR1,20200412,2
1111101_TR1,20200501,2
1111101_TR1,20200508,2
1111101_TR1,20200705,2
1111101_TR1,20200927,2
1111111_TR3,20191224,2
1111111_TR3,20191225,2
1111111_TR3,20191231,2
1111111_TR4,20191225,2
1111111_TR4,20191226,2
1111111_TR4,20200101,2
1111111_TR5,20191225,2
1111111_TR5,20200101,2
1111100_TR3,20191224,2
1111100_TR3,20191225,2
1111100_TR3,20191226,2
1111100_TR3,20200101,2
1111100_TR3,20200410,2
1111100_TR3,20200413,2
1111100_TR3,20200501,2
1111100_TR3,20200508,2
1111100_TR3,20200706,2
1111100_TR3,20200928,2
1111100_TR3,20201028,2
1111100_TR3,20201117,2
1111111_TR6,20191224,2
1111111_TR6,20191231,2
1111100_TR4,20191224,2
1111100_TR4,20191225,2
1111100_TR4,20191226,2
1111100_TR4,20191231,2
1111100_TR4,20200101,2
1111100_TR4,20200410,2
1111100_TR4,20200413,2
1111100_TR4,20200501,2
1111100_TR4,20200508,2
1111100_TR4,20200706,2
1111100_TR4,20200928,2
1111100_TR4,20201028,2
1111100_TR4,20201117,2
1111110_TR1,20191225,2
1111110_TR1,20191226,2
1111110_TR1,20200101,2
1111110_TR1,20200411,2
1111110_TR1,20200413,2
1111110_TR1,20200502,2
1111110_TR1,20200509,2
1111110_TR1,20200706,2
1111110_TR1,20200928,2
0000001_TR1,20191225,1
0000001_TR1,20191226,1
0000001_TR1,20200101,1
0000001_TR1,20200411,1
0000001_TR1,20200413,1
0000001_TR1,20200502,1
0000001_TR1,20200509,1
0000001_TR1,20200706,1
0000001_TR1,20200928,1
0000000_TR1,20191224,1
0000000_TR1,20201028,1
0000000_TR1,20201117,1
0000010_TR1,20200410,1
0000010_TR1,20200411,2
0000010_TR1,20200501,1
0000010_TR1,20200502,2
0000010_TR1,20200508,1
0000010_TR1,20200509,2
0000001_TR2,20191225,1
0000001_TR2,20191226,1
0000001_TR2,20200101,1
0000001_TR2,20200412,2
0000001_TR2,20200413,1
0000001_TR2,20200705,2
0000001_TR2,20200706,1
0000001_TR2,20200927,2
0000001_TR2,20200928,1
0000000_TR2,20200411,1
0000000_TR2,20200412,1
0000000_TR2,20200502,1
0000000_TR2,20200509,1
0000000_TR2,20200705,1
0000000_TR2,20200927,1
0000011_TR1,20191224,1
0000011_TR1,20191225,1
0000011_TR1,20191226,1
0000011_TR1,20200101,1
0000011_TR1,20200410,1
0000011_TR1,20200413,1
0000011_TR1,20200501,1
0000011_TR1,20200508,1
0000011_TR1,20200706,1
0000011_TR1,20200928,1
0000011_TR1,20201028,1
0000011_TR1,20201117,1
1111101_TR2,20191224,2
1111101_TR2,20200410,2
1111101_TR2,20200411,1
1111101_TR2,20200501,2
1111101_TR2,20200502,1
1111101_TR2,20200508,2
1111101_TR2,20200509,1
1111101_TR2,20201028,2
1111101_TR2,20201117,2
0000010_TR2,20191224,1
0000010_TR2,20200410,1
0000010_TR2,20200411,2
0000010_TR2,20200501,1
0000010_TR2,20200502,2
0000010_TR2,20200508,1
0000010_TR2,20200509,2
0000010_TR2,20201028,1
0000010_TR2,20201117,1
1111101_TR3,20200410,2
1111101_TR3,20200412,2
1111101_TR3,20200501,2
1111101_TR3,20200508,2
1111101_TR3,20200705,2
1111101_TR3,20200927,2
0000011_TR2,20191224,1
0000011_TR2,20200410,1
0000011_TR2,20200413,1
0000011_TR2,20200501,1
0000011_TR2,20200508,1
0000011_TR2,20200706,1
0000011_TR2,20200928,1
0000011_TR2,20201028,1
0000011_TR2,20201117,1
1111111_TR7,20200530,2
1111111_TR7,20200531,2
1111111_TR8,20191224,2
1111111_TR8,20191231,2
1111111_TR8,20200530,2
1111111_TR8,20200531,2
1111111_TR9,20191224,2
1111111_TR9,20200530,2
1111111_TR9,20200531,2
1111110_TR2,20191225,2
1111110_TR2,20191226,2
1111110_TR2,20200101,2
1111110_TR2,20200411,2
1111110_TR2,20200413,2
1111110_TR2,20200502,2
1111110_TR2,20200509,2
