from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
U28Z2P,U28Z2P,1,,163_1079_200307,221_747_191215
U28Z1P,U28Z1P,1,,163_1056_200307,221_748_191215
U28Z2P,U28Z2P,1,,163_1067_200307,221_749_191215
U28Z1P,U28Z1P,1,,163_1080_200307,221_750_191215
U28Z2P,U28Z2P,1,,163_1110_200307,221_751_191215
U28Z1P,U28Z1P,1,,163_1092_200307,221_752_191215
U28Z2P,U28Z2P,1,,163_1104_200307,221_753_191215
U28Z1P,U28Z1P,1,,163_1111_200307,221_754_191215
U28Z2P,U28Z2P,1,,163_941_200302,221_755_191215
U28Z1P,U28Z1P,1,,163_1083_200307,221_756_191215
U28Z1P,U28Z1P,1,,163_929_200302,221_756_191215
U28Z2P,U28Z2P,1,,163_1015_200302,221_757_191215
U28Z1P,U28Z1P,1,,163_1042_200302,221_758_191215
U28Z1P,U28Z1P,1,,163_1044_200302,221_528_190902
U28Z1P,U28Z1P,1,,163_1084_200307,221_761_191215
U28Z1P,U28Z1P,1,,163_1086_200307,221_763_191215
U28Z2P,U28Z2P,1,,163_1051_200307,221_764_191215
U28Z1P,U28Z1P,1,,163_1072_200307,221_765_191215
U28Z2P,U28Z2P,1,,163_1053_200307,221_766_191215
U28Z1P,U28Z1P,1,,163_1105_200307,221_767_191215
U28Z2P,U28Z2P,1,,163_1075_200307,221_768_191215
U28Z1P,U28Z1P,1,,163_1097_200307,221_769_191215
U28Z2P,U28Z2P,1,,163_1065_200307,221_770_191215
U28Z1P,U28Z1P,1,,163_1054_200307,221_771_191215
U28Z2P,U28Z2P,1,,163_1100_200307,221_772_191215
U28Z1P,U28Z1P,1,,163_1078_200307,221_773_191215
U28Z2P,U28Z2P,1,,163_1091_200307,221_774_191215
U28Z1P,U28Z1P,1,,163_1066_200307,221_775_191215
U28Z2P,U28Z2P,1,,163_1102_200307,221_776_191215
U28Z1P,U28Z1P,1,,163_1109_200307,221_777_191215
U28Z2P,U28Z2P,1,,163_1059_200307,221_778_191215
U28Z1P,U28Z1P,1,,163_1103_200307,221_779_191215
U28Z2P,U28Z2P,1,,163_928_200302,221_780_191215
U28Z1P,U28Z1P,1,,163_1094_200307,221_781_191215
U28Z1P,U28Z1P,1,,163_940_200302,221_781_191215
U28Z2P,U28Z2P,1,,163_917_200302,221_782_191215
U28Z1P,U28Z1P,1,,163_1014_200302,221_783_191215
U28Z2P,U28Z2P,1,,163_1004_200302,221_784_191215
U28Z1P,U28Z1P,1,,163_1024_200302,221_785_191215
U28Z1P,U28Z1P,1,,163_1016_200302,221_786_191221
U28Z1P,U28Z1P,1,,163_1070_200307,221_788_191215
U28Z2P,U28Z2P,1,,163_1061_200307,221_789_191215
U28Z1P,U28Z1P,1,,163_1050_200307,221_790_191215
U28Z2P,U28Z2P,1,,163_1063_200307,221_791_191215
U28Z1P,U28Z1P,1,,163_1052_200307,221_792_191215
U28Z2P,U28Z2P,1,,163_1096_200307,221_793_191215
U28Z1P,U28Z1P,1,,163_1074_200307,221_794_191215
U28Z2P,U28Z2P,1,,163_1089_200307,221_795_191215
U28Z1P,U28Z1P,1,,163_1064_200307,221_796_191215
U28Z2P,U28Z2P,1,,163_1077_200307,221_797_191215
U28Z1P,U28Z1P,1,,163_1099_200307,221_798_191215
U28Z2P,U28Z2P,1,,163_1108_200307,221_799_191215
U28Z1P,U28Z1P,1,,163_1090_200307,221_800_191215
U28Z2P,U28Z2P,1,,163_1057_200307,221_801_191215
U28Z1P,U28Z1P,1,,163_1101_200307,221_802_191215
U28Z2P,U28Z2P,1,,163_1081_200307,221_803_191215
U28Z1P,U28Z1P,1,,163_1058_200307,221_804_191215
U28Z2P,U28Z2P,1,,163_1093_200307,221_805_191215
U28Z1P,U28Z1P,1,,163_1082_200307,221_806_191215
U28Z2P,U28Z2P,1,,163_952_200302,221_807_191215
U28Z1P,U28Z1P,1,,163_1068_200307,221_808_191215
U28Z1P,U28Z1P,1,,163_916_200302,221_808_191215
U28Z2P,U28Z2P,1,,163_930_200302,221_809_191215
U28Z1P,U28Z1P,1,,163_1003_200302,221_810_191215
U28Z1P,U28Z1P,1,,163_1005_200302,221_812_191215
U107Z1P,U107Z1P,1,,228_231_200307,240_1162_200307
U107Z1P,U107Z1P,1,,228_178_200302,240_1163_200307
U107Z1P,U107Z1P,1,,228_180_200302,240_81_200307
U107Z1P,U107Z1P,1,,228_232_200307,240_1164_200307
U107Z1P,U107Z1P,1,,228_234_200307,240_1165_200307
U107Z1P,U107Z1P,1,,228_236_200307,240_1166_200307
U107Z1P,U107Z1P,1,,228_283_200307,240_207_200307
U107Z1P,U107Z1P,1,,228_353_200307,240_73_200307
U107Z1P,U107Z1P,1,,228_240_200307,240_1157_200307
U107Z1P,U107Z1P,1,,228_198_200302,240_61_200307
U107Z1P,U107Z1P,1,,228_200_200302,240_63_200307
U107Z1P,U107Z1P,1,,228_241_200307,240_1158_200307
U107Z1P,U107Z1P,1,,228_243_200307,240_1159_200307
U107Z1P,U107Z1P,1,,228_245_200307,240_1160_200307
U107Z1P,U107Z1P,1,,228_286_200307,240_190_200307
U107Z1P,U107Z1P,1,,228_345_200530,240_93_200530
U107Z1P,U107Z1P,1,,228_284_200307,240_1664_200307
U1500Z2,U1500Z1,1,,344_364_190406,303_381_190901
U1500Z2,U1500Z1,1,,344_347_190303,303_186_190901
U1500Z2,U1500Z1,1,,303_68_190901,344_365_190303
U1500Z2,U1500Z1,1,,303_70_190901,344_348_190406
U1500Z2,U1500Z1,1,,303_85_190901,344_352_190406
U1500Z2,U1500Z1,1,,303_89_190901,344_354_190406
U1500Z2,U1500Z1,1,,344_345_190303,303_382_190901
U1500Z2,U1500Z1,1,,303_99_190901,344_346_190303
U1500Z2,U1500Z1,1,,303_72_190901,344_350_190303
U1500Z2,U1500Z1,1,,303_87_190901,344_361_190303
U1500Z2,U1500Z1,1,,344_366_190303,303_178_190901
U1500Z2,U1500Z1,1,,344_349_190406,303_179_190901
U1500Z2,U1500Z1,1,,344_351_190303,303_187_190901
U1500Z2,U1500Z1,1,,344_353_190406,303_188_190901
U1500Z2,U1500Z1,1,,344_362_190303,303_189_190901
U1500Z2,U1500Z1,1,,344_355_190406,303_190_190901
U1702Z2,U1702Z2,1,,318_112_200508,321_41_190825
U1702Z1,U1702Z1,1,,318_252_200606,317_128_200606
U1702Z2,U1702Z2,1,,318_188_200308,317_171_200508
U1702Z2,U1702Z2,1,,318_188_200307,317_171_200508
U1702Z1,U1702Z1,1,,317_57_200606,318_247_200606
U1702Z2,U1702Z2,1,,317_169_200508,318_108_200308
U1702Z1,U1702Z1,1,,318_248_200606,317_60_200606
U1702Z2,U1702Z2,1,,318_43_200508,317_178_200508
U1702Z2,U1702Z2,1,,318_43_200620,317_178_200508
U1702Z1,U1702Z1,1,,318_257_200606,317_38_200601
U1702Z1,U1702Z1,1,,318_260_200615,317_38_200601
U1702Z2,U1702Z2,1,,318_100_200308,317_177_200508
U1702Z2,U1702Z2,1,,318_100_200307,317_177_200508
U1702Z2,U1702Z2,1,,318_116_200308,321_52_190825
U1702Z1,U1702Z1,1,,318_244_200606,317_110_191124
U1702Z2,U1702Z2,1,,318_108_200308,317_169_200508
U1702Z2,U1702Z2,1,,318_108_200307,317_169_200508
U1702Z1,U1702Z1,1,,318_206_200606,317_112_190901
U1702Z2,U1702Z2,1,,318_125_200508,317_176_200508
U1702Z2,U1702Z2,1,,318_125_200620,317_176_200508
U1702Z2,U1702Z2,1,,317_177_200508,318_100_200308
U1702Z1,U1702Z1,1,,321_51_190901,318_250_200607
U1702Z2,U1702Z2,1,,317_175_200508,318_102_200308
U1702Z1,U1702Z1,1,,321_42_190901,318_251_200607
U1702Z2,U1702Z2,1,,318_118_200508,317_62_200508
U1702Z2,U1702Z2,1,,318_118_200620,317_62_200508
U1702Z1,U1702Z1,1,,318_255_200606,317_116_200606
U1702Z2,U1702Z2,1,,318_111_200308,317_168_200508
U1702Z2,U1702Z2,1,,318_111_200307,317_168_200508
U1702Z1,U1702Z1,1,,318_243_200606,317_124_200606
U1702Z1,U1702Z1,1,,318_254_200606,317_122_200606
U1702Z2,U1702Z2,1,,318_110_200308,317_172_200508
U1702Z2,U1702Z2,1,,318_110_200307,317_172_200508
U1702Z1,U1702Z1,1,,317_124_200606,318_243_200606
U1702Z2,U1702Z2,1,,318_102_200308,317_175_200508
U1702Z2,U1702Z2,1,,318_102_200307,317_175_200508
U1702Z1,U1702Z1,1,,318_246_200606,317_65_190907
U1702Z2,U1702Z2,1,,318_120_200508,317_61_200508
U1702Z2,U1702Z2,1,,318_120_200620,317_61_200508
U1702Z1,U1702Z1,1,,318_256_200606,317_120_191124
U1702Z2,U1702Z2,1,,321_41_190825,318_112_200508
U1702Z1,U1702Z1,1,,317_128_200606,318_252_200606
U1702Z2,U1702Z2,1,,321_47_190825,318_187_200508
U1702Z1,U1702Z1,1,,318_253_200606,317_125_200606
U1702Z2,U1702Z2,1,,318_106_200308,317_165_200508
U1702Z2,U1702Z2,1,,318_106_200307,317_165_200508
U1702Z1,U1702Z1,1,,317_60_200606,318_248_200606
U1702Z2,U1702Z2,1,,317_172_200508,318_110_200308
U1702Z1,U1702Z1,1,,317_112_190901,318_206_200606
U1702Z2,U1702Z2,1,,317_168_200508,318_111_200308
U1702Z2,U1702Z2,1,,318_98_200308,317_179_200508
U1702Z2,U1702Z2,1,,318_98_200307,317_179_200508
U1702Z1,U1702Z1,1,,321_46_200607,318_249_200607
U1702Z2,U1702Z2,1,,317_171_200508,318_188_200308
U1702Z1,U1702Z1,1,,317_65_190907,318_246_200606
U1702Z2,U1702Z2,1,,317_165_200508,318_106_200308
U1702Z1,U1702Z1,1,,318_247_200606,317_57_200606
U1702Z2,U1702Z2,1,,318_122_200508,317_58_200508
U1702Z2,U1702Z2,1,,318_122_200620,317_58_200508
U1702Z1,U1702Z1,1,,318_245_200606,317_131_200606
U1702Z2,U1702Z2,1,,317_179_200508,318_98_200308
U1702Z2,U1702Z2,1,,318_187_200508,321_47_190825
U1702Z1,U1702Z1,1,,317_125_200606,318_253_200606
U1702Z2,U1702Z2,1,,321_52_190825,318_116_200308
U1702Z1,U1702Z1,1,,317_110_191124,318_244_200606
U1702Z2,U1702Z2,1,,317_62_200508,318_118_200508
U1702Z1,U1702Z1,1,,317_122_200606,318_254_200606
U1702Z2,U1702Z2,1,,317_61_200508,318_120_200508
U1702Z1,U1702Z1,1,,317_116_200606,318_255_200606
U1702Z2,U1702Z2,1,,317_58_200508,318_122_200508
U1702Z1,U1702Z1,1,,317_120_191124,318_256_200606
U1702Z2,U1702Z2,1,,317_178_200508,318_43_200508
U1702Z1,U1702Z1,1,,317_131_200606,318_245_200606
U1702Z2,U1702Z2,1,,317_176_200508,318_125_200508
U1702Z1,U1702Z1,1,,317_38_200601,318_257_200606
U1712Z2,U1712Z3,1,,317_179_200508,446_7_180501
U1712Z1,U1712Z3,1,,317_118_191124,446_70_180501
U1712Z1,U1712Z3,1,,317_128_200606,446_21_180430
U1712Z1,U1712Z3,1,,317_153_191125,446_21_180430
U1712Z2,U1712Z3,1,,317_175_200508,446_23_180430
U1712Z2,U1712Z3,1,,317_175_200316,446_23_180430
U1712Z1,U1712Z3,1,,317_125_200606,446_27_180430
U1712Z1,U1712Z3,1,,317_144_200601,446_27_180430
U1712Z1,U1712Z3,1,,317_110_191124,446_33_180430
U1712Z1,U1712Z3,1,,317_150_200601,446_33_180430
U1712Z2,U1712Z3,1,,317_165_200508,446_72_180501
U1712Z1,U1712Z3,1,,317_122_200606,446_45_180430
U1712Z1,U1712Z3,1,,317_116_200606,446_53_180430
U1712Z1,U1712Z3,1,,317_116_191125,446_53_180430
U1712Z2,U1712Z3,1,,317_172_200508,446_55_180430
U1712Z2,U1712Z3,1,,317_172_200316,446_55_180430
U1712Z1,U1712Z3,1,,317_120_191124,446_61_180430
U1712Z1,U1712Z3,1,,317_145_200601,446_61_180430
U1712Z1,U1712Z3,1,,317_131_200606,446_66_180430
U1712Z1,U1712Z3,1,,317_10_200601,446_66_180430
U1712Z2,U1712Z3,1,,317_166_200508,446_68_190716
U1564Z1,U1564Z1,1,,444_217_190901,339_214_191215
U2109Z1,U2109Z2,1,,452_61_191224,332_52_190831
U1502Z1,U1502Z1,1,,341_733_191109,333_1017_200307
U1502Z1,U1502Z1,1,,341_854_200620,333_1017_200307
U1502Z1,U1502Z1,1,,341_636_191109,333_1023_200307
U1502Z1,U1502Z1,1,,341_790_200620,333_1023_200307
U1502Z1,U1502Z1,1,,341_727_191109,333_1027_200307
U1502Z1,U1502Z1,1,,341_848_200620,333_1027_200307
U1709Z1,U1709Z2,1,,317_110_191124,488_49_200613
U1709Z1,U1709Z2,1,,321_55_190907,488_47_200613
U1709Z1,U1709Z2,1,,317_128_200606,488_48_200613
U1564Z1,U1564Z1,1,,444_211_190901,339_217_191215
U1502Z1,U1502Z1,1,,341_738_191109,333_1046_200307
U1564Z1,U1564Z1,1,,339_302_200321,444_218_190901
U1564Z1,U1564Z1,1,,339_307_200321,444_220_190901
U1564Z1,U1564Z1,1,,339_292_200321,444_222_190901
U1564Z1,U1564Z1,1,,339_299_200321,444_224_190901
U1564Z1,U1564Z1,1,,339_305_200321,444_226_190901
U1564Z1,U1564Z1,1,,339_310_200321,444_228_190901
U1564Z1,U1564Z1,1,,444_215_190901,339_240_191215
U1564Z1,U1564Z1,1,,444_219_190901,339_231_191215
U1564Z1,U1564Z1,1,,444_225_190901,339_234_191215
U1564Z1,U1564Z1,1,,444_213_190901,339_237_191215
U1564Z1,U1564Z1,1,,444_221_190901,339_244_191215
U1564Z1,U1564Z1,1,,444_223_190901,339_254_191215
U1502Z2,U1502Z1,1,,333_1010_200307,341_721_191109
U1502Z1,U1502Z2,1,,333_1011_200307,341_722_191109
U1502Z2,U1502Z2,1,,333_1024_200307,341_722_191109
U1502Z2,U1502Z1,1,,333_1012_200307,341_723_191109
U1502Z1,U1502Z1,1,,333_1025_200307,341_723_191109
U1502Z1,U1502Z2,1,,333_1046_200307,341_724_191109
U1502Z2,U1502Z2,1,,333_1026_200307,341_724_191109
U1502Z2,U1502Z1,1,,333_1047_200307,341_725_191109
U1502Z1,U1502Z1,1,,333_1036_200307,341_725_191109
U1502Z1,U1502Z2,1,,333_1013_200307,341_726_191109
U1502Z2,U1502Z2,1,,333_1037_200307,341_726_191109
U1502Z2,U1502Z1,1,,333_1014_200307,341_727_191109
U1502Z1,U1502Z1,1,,333_1027_200307,341_727_191109
U1502Z1,U1502Z2,1,,333_1040_200307,341_728_191109
U1502Z2,U1502Z2,1,,333_1028_200307,341_728_191109
U1502Z2,U1502Z1,1,,333_1041_200307,341_729_191109
U1502Z1,U1502Z1,1,,333_1038_200307,341_729_191109
U1502Z1,U1502Z2,1,,333_1015_200307,341_730_191109
U1502Z2,U1502Z2,1,,333_1039_200307,341_730_191109
U1502Z2,U1502Z1,1,,333_1016_200307,341_731_191109
U1502Z1,U1502Z1,1,,333_1029_200307,341_731_191109
U1502Z1,U1502Z2,1,,333_1042_200307,341_732_191109
U1502Z2,U1502Z2,1,,333_1030_200307,341_732_191109
U1502Z2,U1502Z1,1,,333_1043_200307,341_733_191109
U1502Z1,U1502Z1,1,,333_1017_200307,341_733_191109
U1502Z1,U1502Z2,1,,333_1044_200307,341_631_191109
U1502Z2,U1502Z2,1,,333_1018_200307,341_631_191109
U1502Z2,U1502Z1,1,,333_1045_200307,341_632_191109
U1502Z1,U1502Z1,1,,333_1019_200307,341_632_191109
U1502Z1,U1502Z2,1,,333_1031_200307,341_633_191109
U1502Z2,U1502Z2,1,,333_1020_200307,341_633_191109
U1502Z2,U1502Z1,1,,333_1032_200307,341_634_191109
U1502Z1,U1502Z1,1,,333_1021_200307,341_634_191109
U1502Z1,U1502Z2,1,,333_1033_200307,341_635_191109
U1502Z2,U1502Z2,1,,333_1022_200307,341_635_191109
U1502Z2,U1502Z1,1,,333_1034_200307,341_636_191109
U1502Z1,U1502Z1,1,,333_1023_200307,341_636_191109
U1502Z1,U1502Z2,1,,333_1035_200307,341_637_191109
U1502Z2,U1502Z1,1,,333_1026_200307,341_738_191109
U1502Z1,U1502Z1,1,,333_1046_200307,341_738_191109
U1502Z2,U1502Z1,1,,333_1030_200307,341_746_191109
U1502Z1,U1502Z1,1,,333_1042_200307,341_746_191109
U1502Z1,U1502Z2,1,,333_1017_200307,341_747_191109
U1502Z2,U1502Z2,1,,333_1043_200307,341_747_191109
U1502Z2,U1502Z1,1,,333_1018_200307,341_748_191109
U1502Z1,U1502Z1,1,,333_1044_200307,341_748_191109
U4398Z2,U4398Z2,1,,624_363_191106,342_71_191201
U4398Z2,U4398Z2,1,,624_390_191109,342_73_191201
U4398Z2,U4398Z2,1,,624_379_191106,342_78_191201
U4398Z2,U4398Z2,1,,624_367_191106,342_80_191201
U4398Z2,U4398Z2,1,,624_373_191106,342_82_191201
U4398Z2,U4398Z2,1,,624_365_191106,342_88_191201
U4398Z2,U4398Z2,1,,624_387_191106,342_90_191201
U1308Z2,U1308Z2,1,,368_272_200614,348_996_200614
U1308Z2,U1308Z2,1,,368_273_200614,348_997_200614
U1785Z3,U1785Z3,1,,369_649_200125,348_682_200523
U1785Z4,U1785Z4,1,,369_701_200614,348_998_200614
U1785Z3,U1785Z3,1,,369_651_200125,348_684_200523
U1785Z4,U1785Z4,1,,369_697_200614,348_999_200614
U1785Z3,U1785Z3,1,,369_646_200125,348_686_200523
U1785Z4,U1785Z4,1,,369_551_200614,348_1000_200614
U1785Z3,U1785Z3,1,,369_579_200125,348_688_200523
U1785Z4,U1785Z4,1,,369_675_200614,348_577_200522
U1785Z4,U1785Z4,1,,369_566_200513,348_577_200522
U1785Z3,U1785Z3,1,,369_554_200125,348_578_200522
U1785Z3,U1785Z3,1,,369_554_200513,348_578_200522
U1785Z3,U1785Z3,1,,369_570_200125,348_736_200523
U1785Z4,U1785Z4,1,,369_689_200614,348_1005_200614
U1308Z2,U1308Z2,1,,368_275_200614,348_1005_200614
U1308Z2,U1308Z2,1,,368_276_200614,348_1006_200614
U1308Z2,U1308Z2,1,,368_278_200614,348_1007_200614
U1308Z2,U1308Z2,1,,368_280_200614,348_1008_200614
U1308Z2,U1308Z2,1,,368_282_200614,348_1009_200614
U1308Z2,U1308Z2,1,,368_277_200614,348_1012_200614
U1308Z2,U1308Z2,1,,368_279_200614,348_1013_200614
U1308Z2,U1308Z2,1,,368_281_200614,348_1014_200614
U1308Z2,U1308Z2,1,,368_283_200614,348_1015_200614
U1785Z3,U1785Z3,1,,369_620_200125,348_725_200523
U1785Z4,U1785Z4,1,,369_696_200614,348_1018_200614
U1308Z2,U1308Z2,1,,368_274_200614,348_1018_200614
U1785Z3,U1785Z3,1,,369_671_200125,348_727_200523
U1785Z4,U1785Z4,1,,369_578_200614,348_1019_200614
U1785Z3,U1785Z3,1,,369_673_200125,348_729_200523
U1785Z4,U1785Z4,1,,369_690_200614,348_1020_200614
U1785Z3,U1785Z3,1,,369_665_200125,348_731_200523
U1785Z4,U1785Z4,1,,369_679_200614,348_1021_200614
U1785Z3,U1785Z3,1,,369_569_200124,348_623_200522
U1785Z4,U1785Z4,1,,369_682_200614,348_1024_200614
U1785Z3,U1785Z3,1,,369_657_200125,348_738_200523
U1785Z4,U1785Z4,1,,369_608_200614,348_1025_200614
U1785Z3,U1785Z3,1,,369_659_200125,348_740_200523
U1785Z4,U1785Z4,1,,369_703_200614,348_1026_200614
U1785Z3,U1785Z3,1,,369_611_200124,348_742_200523
U1686Z2,U1686Z1,1,,630_461_200523,386_13_191215
U1829Z4,U1829Z1,1,,669_90_190413,375_1183_200201
U1829Z4,U1829Z1,1,,669_89_190413,375_1191_200201
U1829Z4,U1829Z1,1,,666_34_190929,375_1203_200201
U1829Z4,U1829Z1,1,,667_16_190929,375_1203_200201
U1829Z4,U1829Z1,1,,669_87_190413,375_1211_200201
U1829Z4,U1829Z1,1,,669_88_190413,375_1213_200201
U1829Z4,U1829Z1,1,,666_16_190929,375_1217_200201
U1829Z4,U1829Z1,1,,666_59_190929,375_1219_200201
U1829Z4,U1829Z1,1,,667_14_191116,375_1229_200201
U1829Z4,U1829Z1,1,,667_15_190929,375_1241_200201
U1829Z4,U1829Z1,1,,669_91_190413,375_1249_200201
U1829Z4,U1829Z1,1,,666_67_190408,953_125_200316
U1308Z1,U1308Z1,1,,348_723_200523,368_67_190921
U1308Z1,U1308Z1,1,,348_725_200523,368_69_190921
U1308Z1,U1308Z1,1,,348_736_200523,368_71_190921
U1308Z1,U1308Z1,1,,348_684_200523,368_73_190921
U1308Z1,U1308Z1,1,,348_713_200523,368_75_190921
U1308Z1,U1308Z1,1,,348_697_200523,368_77_190921
U1308Z1,U1308Z1,1,,348_715_200523,368_79_190921
U1308Z1,U1308Z1,1,,348_699_200523,368_81_190921
U1308Z1,U1308Z1,1,,348_717_200523,368_83_190921
U1308Z1,U1308Z1,1,,348_701_200523,368_85_190921
U1308Z1,U1308Z1,1,,348_719_200523,368_87_190921
U1308Z1,U1308Z1,1,,348_578_200522,368_20_190921
U1308Z1,U1308Z1,1,,348_580_200522,368_24_190921
U1308Z1,U1308Z1,1,,348_609_200522,368_102_190921
U1785Z3,U1785Z3,1,,471_393_200614,369_630_200125
U1785Z4,U1785Z4,1,,348_1035_200620,369_678_200614
U1785Z4,U1785Z4,1,,348_1019_200614,369_578_200614
